"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 19:17:05 GMT 2024","Thu Nov 07 19:17:06 GMT 2024","647","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a button with ”Close the work order""",""
"passed","Thu Nov 07 19:16:32 GMT 2024","Thu Nov 07 19:16:33 GMT 2024","553","MaintainX QA-Take-Home Project home page","right articles section","","","","should include 6 table rows",""
"passed","Thu Nov 07 19:17:02 GMT 2024","Thu Nov 07 19:17:03 GMT 2024","595","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail id",""
"passed","Thu Nov 07 19:16:36 GMT 2024","Thu Nov 07 19:16:37 GMT 2024","633","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 6th order named ""Freeze Morty“ with DONE Status",""
"passed","Thu Nov 07 19:16:30 GMT 2024","Thu Nov 07 19:16:31 GMT 2024","545","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the first anchor element named ""Create Work Order“",""
"passed","Thu Nov 07 19:17:09 GMT 2024","Thu Nov 07 19:17:10 GMT 2024","852","when create a new work order","when click ""Create Work Order""","","","","should display a title and a form",""
"passed","Thu Nov 07 19:16:35 GMT 2024","Thu Nov 07 19:16:35 GMT 2024","620","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 4th order named ""Hammer nails“ with open Status",""
"passed","Thu Nov 07 19:16:35 GMT 2024","Thu Nov 07 19:16:36 GMT 2024","659","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 5th order named ""Land on Earth“ with DONE Status",""
"passed","Thu Nov 07 19:16:30 GMT 2024","Thu Nov 07 19:16:30 GMT 2024","523","MaintainX QA-Take-Home Project home page","left navigator section","","","","should include two list items",""
"passed","Thu Nov 07 19:16:31 GMT 2024","Thu Nov 07 19:16:31 GMT 2024","522","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the second anchor element named ""View Work-Orders“",""
"passed","Thu Nov 07 19:17:06 GMT 2024","Thu Nov 07 19:17:06 GMT 2024","715","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button","","","should update the status of work order",""
"passed","Thu Nov 07 19:17:10 GMT 2024","Thu Nov 07 19:17:11 GMT 2024","613","when create a new work order","when click ""Create Work Order""","the title","","","should be ""New Work Orders""",""
"passed","Thu Nov 07 19:17:03 GMT 2024","Thu Nov 07 19:17:04 GMT 2024","602","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail name",""
"passed","Thu Nov 07 19:17:02 GMT 2024","Thu Nov 07 19:17:02 GMT 2024","609","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Retourner button",""
"passed","Thu Nov 07 19:16:46 GMT 2024","Thu Nov 07 19:16:48 GMT 2024","1740","","","","","","should be able to add a todo",""
"passed","Thu Nov 07 19:16:33 GMT 2024","Thu Nov 07 19:16:33 GMT 2024","602","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 1st order named ""Unfreeze Frozen Morty“ with open Status",""
"passed","Thu Nov 07 19:16:32 GMT 2024","Thu Nov 07 19:16:32 GMT 2024","514","MaintainX QA-Take-Home Project home page","right articles section","","","","should be visible",""
"passed","Thu Nov 07 19:17:11 GMT 2024","Thu Nov 07 19:17:11 GMT 2024","568","when create a new work order","when click ""Create Work Order""","the form","","","should include form rows Name and Assignees and a create button",""
"passed","Thu Nov 07 19:16:29 GMT 2024","Thu Nov 07 19:16:30 GMT 2024","557","MaintainX QA-Take-Home Project home page","left navigator section","","","","should be visible",""
"passed","Thu Nov 07 19:16:34 GMT 2024","Thu Nov 07 19:16:35 GMT 2024","646","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 3rd order named ""Walk Dog Morty around the block“ with open Status",""
"passed","Thu Nov 07 19:17:04 GMT 2024","Thu Nov 07 19:17:05 GMT 2024","575","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Assignees",""
"passed","Thu Nov 07 19:17:04 GMT 2024","Thu Nov 07 19:17:04 GMT 2024","604","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Status",""
"passed","Thu Nov 07 19:16:58 GMT 2024","Thu Nov 07 19:16:58 GMT 2024","621","Multiple screen size tests","iphone 14 pro max size","","","","should be able to add a todo in mobile size",""
"passed","Thu Nov 07 19:17:01 GMT 2024","Thu Nov 07 19:17:02 GMT 2024","636","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name","","","should make a details section visible",""
"passed","Thu Nov 07 19:17:00 GMT 2024","Thu Nov 07 19:17:01 GMT 2024","862","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page","","","should exist and the status should be Open",""
